epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2367,0.90484,2.96169,1.18632,0.82803,0.88889,0.94349,0.80337,0.51891,3.28055,0.90524,0.00012,0.00012,0.00012
2,23.9426,0.69538,1.63053,0.98955,0.57304,0.77778,0.63767,0.49012,0.7607,1.77322,1.00602,0.000254852,0.000254852,0.000254852
3,27.2861,0.64154,1.04762,0.96482,0.77007,0.77778,0.77835,0.5185,0.94754,3.03617,1.26973,0.00038416,0.00038416,0.00038416
4,30.4661,0.63065,0.78757,0.97148,0.30696,0.88889,0.57812,0.37641,0.88689,2.81302,1.28741,0.000507924,0.000507924,0.000507924
5,33.7457,0.67459,0.74611,1.02933,0.08759,0.33333,0.05112,0.03074,1.75164,8.09984,2.18417,0.000626144,0.000626144,0.000626144
6,36.9445,0.71175,0.81572,1.03517,0.17894,0.44444,0.14075,0.09286,1.83202,3.69136,2.50039,0.00073882,0.00073882,0.00073882
7,40.1385,0.79337,0.94982,1.08244,0.74459,0.32612,0.29885,0.16413,1.92694,4.05757,3.21041,0.000845952,0.000845952,0.000845952
8,43.2397,0.74892,0.71381,1.05737,0.0042,0.22222,0.00195,0.00061,2.57753,110.419,5.86142,0.00094754,0.00094754,0.00094754
9,46.5747,0.71412,0.68165,1.04633,0.00173,0.22222,0.00097,0.0003,3.04142,428.334,5.82321,0.00104358,0.00104358,0.00104358
10,49.6736,0.6755,0.59143,1.0201,0.00414,0.11111,0.00069,7e-05,4.0248,47.3224,6.07428,0.00113408,0.00113408,0.00113408
11,52.7282,0.70977,0.62528,1.00965,0.75561,0.44444,0.56019,0.39744,1.24053,3.19823,2.58287,0.00121904,0.00121904,0.00121904
12,55.8423,0.79415,0.63357,1.0781,0.67806,0.22222,0.2331,0.12146,2.6173,5.71917,4.95066,0.00129845,0.00129845,0.00129845
13,58.8273,0.85507,0.65611,1.12916,0.34288,0.66667,0.46508,0.24078,1.80407,6.61041,3.50518,0.00137232,0.00137232,0.00137232
14,61.8343,0.76424,0.61918,1.09106,0.04406,0.11111,0.00853,0.00536,3.1258,7.72562,5.84068,0.00144064,0.00144064,0.00144064
15,64.8216,0.7504,0.65964,1.07143,0.00974,0.11111,0.00245,0.00098,4.05741,43.4431,17.4418,0.0014456,0.0014456,0.0014456
16,67.9141,0.66294,0.57229,1.04685,0.01562,0.11111,0.0041,0.00246,nan,nan,nan,0.001406,0.001406,0.001406
17,70.948,0.68389,0.57166,1.05845,0,0,0,0,5.15363,652.355,25.1375,0.0013664,0.0013664,0.0013664
18,73.9884,0.71985,0.60342,1.07596,0.68585,0.22222,0.22663,0.1813,1.94862,4.75802,6.11762,0.0013268,0.0013268,0.0013268
19,76.9945,0.71485,0.53412,1.04994,0,0,0,0,5.01627,6.20018,14.5839,0.0012872,0.0012872,0.0012872
20,80.094,0.63836,0.52283,1.01021,0,0,0,0,5.96481,5.79701,29.0541,0.0012476,0.0012476,0.0012476
21,83.08,0.6299,0.50036,1.01084,0,0,0,0,5.73887,4.77457,21.6811,0.001208,0.001208,0.001208
22,86.1222,0.68874,0.53263,1.07762,0.85846,0.11111,0.11536,0.10382,3.29169,5.88562,4.70893,0.0011684,0.0011684,0.0011684
23,89.1325,0.62289,0.51939,0.99729,0.72544,0.88143,0.82772,0.57099,1.05183,10.9569,1.62237,0.0011288,0.0011288,0.0011288
24,92.1547,0.5482,0.44851,0.95206,0.45174,0.77778,0.70124,0.47361,1.13125,11.6375,1.77648,0.0010892,0.0010892,0.0010892
25,95.1512,0.64135,0.48526,1.00492,0.78727,0.88889,0.89435,0.71183,0.76267,3.0436,1.38569,0.0010496,0.0010496,0.0010496
26,98.1731,0.55617,0.42468,0.96968,0.85763,1,0.962,0.70772,0.72468,4.78481,1.27844,0.00101,0.00101,0.00101
27,101.141,0.5862,0.46664,0.99022,0.66278,0.88889,0.82057,0.67045,0.71404,5.37413,1.1544,0.0009704,0.0009704,0.0009704
28,104.139,0.53152,0.4394,0.94728,0.55932,0.55556,0.7123,0.61906,0.66437,5.56936,1.16411,0.0009308,0.0009308,0.0009308
29,107.054,0.51653,0.40398,0.94376,1,0.75805,0.951,0.77158,0.66203,2.90643,1.14096,0.0008912,0.0008912,0.0008912
30,110.074,0.50478,0.38314,0.9402,0.91964,0.88889,0.984,0.84904,0.62337,2.00007,1.11901,0.0008516,0.0008516,0.0008516
31,113.196,0.46898,0.39023,0.95012,0.9044,1,0.995,0.82491,0.56392,1.86943,1.07276,0.000812,0.000812,0.000812
32,116.493,0.51252,0.43295,0.96891,0.76615,1,0.93833,0.7789,0.56478,1.27853,1.08694,0.0007724,0.0007724,0.0007724
33,119.653,0.51337,0.4194,0.94356,0.55017,1,0.7164,0.61451,0.57573,2.72033,1.11086,0.0007328,0.0007328,0.0007328
34,122.705,0.45444,0.36714,0.92366,0.48372,0.55556,0.5912,0.48926,0.80404,4.01051,1.23892,0.0006932,0.0006932,0.0006932
35,125.751,0.47069,0.37952,0.92243,0.88859,1,0.973,0.80166,0.59455,0.64545,1.1381,0.0006536,0.0006536,0.0006536
36,128.845,0.48523,0.39039,0.97679,0.98912,0.88889,0.8891,0.78674,0.65536,0.68788,1.21923,0.000614,0.000614,0.000614
37,131.839,0.46156,0.38764,0.93546,0.99197,1,0.995,0.90307,0.50016,0.46648,1.04,0.0005744,0.0005744,0.0005744
38,134.946,0.46634,0.35744,0.94124,0.99109,1,0.995,0.91318,0.47412,0.46037,1.0137,0.0005348,0.0005348,0.0005348
39,138.05,0.45789,0.37105,0.95113,0.99253,1,0.995,0.91106,0.47892,0.44756,1.02273,0.0004952,0.0004952,0.0004952
40,141.027,0.44661,0.34968,0.90445,0.99388,1,0.995,0.90306,0.46486,0.44137,1.01848,0.0004556,0.0004556,0.0004556
41,165.527,0.42411,0.39285,0.93529,0.99421,1,0.995,0.91071,0.44862,0.41188,1.01667,0.000416,0.000416,0.000416
42,168.718,0.39774,0.34939,0.92483,0.99391,1,0.995,0.90294,0.42987,0.39159,0.96754,0.0003764,0.0003764,0.0003764
43,171.786,0.38583,0.37362,0.91196,0.99407,1,0.995,0.91273,0.42206,0.40563,0.97573,0.0003368,0.0003368,0.0003368
44,174.798,0.37284,0.34167,0.89623,0.99439,1,0.995,0.91317,0.42184,0.37198,0.97617,0.0002972,0.0002972,0.0002972
45,177.733,0.37538,0.35081,0.9103,0.99462,1,0.995,0.95108,0.41241,0.35153,0.96421,0.0002576,0.0002576,0.0002576
46,180.806,0.33928,0.31395,0.87542,0.99466,1,0.995,0.91511,0.38993,0.31915,0.94887,0.000218,0.000218,0.000218
47,183.773,0.3475,0.31207,0.86726,0.99438,1,0.995,0.92111,0.40546,0.32957,0.95618,0.0001784,0.0001784,0.0001784
48,186.789,0.32775,0.31435,0.87431,0.9945,1,0.995,0.98283,0.39567,0.36281,0.95906,0.0001388,0.0001388,0.0001388
49,189.805,0.32216,0.30419,0.85196,0.99447,1,0.995,0.97605,0.39149,0.36565,0.95487,9.92e-05,9.92e-05,9.92e-05
50,192.826,0.29517,0.28618,0.82097,0.99447,1,0.995,0.9743,0.37572,0.35009,0.94598,5.96e-05,5.96e-05,5.96e-05
